 Hellbender; Cryptobranchus alleganiensis
 Hell Hollow Slender Salamander; Batrachoseps diabolicus
 Houston Toad; Anaxyrus houstonensis
 Hurter's Spadefoot; Scaphiopus hurterii
 Idaho Giant Salamander; Dicamptodon aterrimus
 Illinois Chorus Frog; Pseudacris illinoensis
 Imitator Salamander; Desmognathus imitator
 Inyo Mountains Salamander; Batrachoseps campi
 Jefferson Salamander; Ambystoma jeffersonianum
 Jemez Mountains Salamander; Plethodon neomexicanus
 Jollyville Plateau Salamander; Eurycea tonkawae
 Junaluska Salamander; Eurycea junaluska
 Kern Canyon Slender Salamander; Batrachoseps simatus
 Kern Plateau Salamander; Batrachoseps robustus
 Kings River Slender Salamander; Batrachoseps regius
 Kiamichi Slimy Salamander; Plethodon kiamichi
 Louisiana Slimy Salamander; Plethodon kisatchie
 Lowland Burrowing Treefrog; Smilisca fodiens
 Eastern Lesser Siren; Siren intermedia intermedia
 Western Lesser Siren; Siren intermedia nettingi
 Lesser Siren; Siren intermedia
 Little Grass Frog; Pseudacris ocularis
 Limestone Salamander; Hydromantes brunus
 Lowland Leopard Frog; Lithobates yavapaiensis
 Larch Mountain Salamander; Plethodon larselli
 Lesser Slender Salamander; Batrachoseps minor
 Long-tailed Salamander; Eurycea longicauda
 Santa Cruz Long-toed Salamander; Ambystoma macrodactylum croceum
 Long-toed Salamander; Ambystoma macrodactylum
 Marbled Salamander; Ambystoma opacum
 Mabee's Salamander; Ambystoma mabeei
 Mountain Chorus Frog; Pseudacris brachyphona
 Mona Coqui; Eleutherodactylus monensis
 Mink Frog; Lithobates septentrionalis
 Many-lined Salamander; Stereochilus marginatus
 Mount Lyell Salamander; Hydromantes platycephalus
 Mole Salamander; Ambystoma talpoideum
 Many-ribbed Salamander; Eurycea multiplicata
 Mississippi Slimy Salamander; Plethodon mississippi
 Mudpuppy; Necturus maculosus
 Mud Salamander; Pseudotriton montanus
 Mexican White-lipped Frog; Leptodactylus fragilis
 Mexican Spadefoot; Spea multiplicata
 Mexican Treefrog; Smilisca baudinii
 Northern Cricket Frog; Acris crepitans
 Northern Dusky Salamander; Desmognathus fuscus
 Northern Dwarf Siren; Pseudobranchus striatus
 Northern Gray-cheeked Salamander; Plethodon montanus
 New Jersey Chorus Frog; Pseudacris kalmi
 Northern Leopard Frog; Lithobates pipiens
 Northwestern Salamander; Ambystoma gracile 
 Northern Pacific Treefrog; Pseudacris regilla
 Northern red-legged frog; Rana aurora
 Northern Ravine Salamander; Plethodon electromorphus
 Neuse River Waterdog; Necturus lewisi
 Northern Slimy Salamander; Plethodon glutinosus
 Northern Two-lined Salamander; Eurycea bislineata
 Northern Zigzag Salamander; Plethodon dorsalis
 Oak Toad; Anaxyrus quercicus
 Ornate Chorus Frog; Pseudacris ornata
 Ocoee Salamander; Desmognathus ocoee
 Ocmulgee Slimy Salamander; Plethodon ocmulgee
 Ouachita Dusky Salamander; Desmognathus brimleyorum
 Oklahoma Salamander; Eurycea tynerensis
 Oregon Spotted Frog; Rana pretiosa
 Oregon Slender Salamander; Batrachoseps wrightorum
 One-toed Amphiuma; Amphiuma pholeter
 Olympic Torrent Salamander; Rhyacotriton olympicus
 Ozark Zigzag Salamander; Plethodon angusticlavius
 Pine Barrens Treefrog; Hyla andersonii
 Pacific Chorus Frog; Pseudacris regilla 
 Pickerel Frog; Lithobates palustris
 Pig Frog; Lithobates grylio
 Plains Leopard Frog; Lithobates blairi
 Plains Spadefoot; Spea bombifrons
 Pigeon Mountain Salamander; Plethodon petraeus
 Peaks Of Otter Salamander; Plethodon hubrichti
 Puerto Rican Coqui; Eleutherodactylus portoricensis
 Puerto Rican Crested Toad; Bufo lemur
 Pine Woods Treefrog; Hyla femoralis
 Pygmy Salamander; Desmognathus wrighti
 Red-bellied Newt; Taricha rivularis
 Rock Coqui; Eleutherodactylus cooki
 Red-cheeked Salamander; Plethodon jordani
 Red-legged Frog; Rana aurora 
 Red Salamander; Pseudotriton ruber
 Reticulated Flatwoods Salamander; Ambystoma bishopi
 Rio Grande Chirping Frog; Eleutherodactylus cystignathoides
 Rio Grande Leopard Frog; Lithobates berlandieri
 Red Hills Salamander; Phaeognathus hubrichti
 River Frog; Lithobates heckscheri
 Ringed Salamander; Ambystoma annulatum
 Relict Leopard Frog; Lithobates onca
 Red-legged Salamander; Plethodon shermani
 Rich Mountain Salamander; Plethodon ouachitae
 Roughskin Newt; Taricha granulosa 
 Rocky Mountain Tailed Frog; Ascaphus montanus
 Rough-skinned Newt; Taricha granulosa
 Relictual Slender Salamander; Batrachoseps relictus
 Red-spotted Toad; Anaxyrus punctatus
 Santeetlah Dusky Salamander; Desmognathus santeetlah
 Salado Salamander; Eurycea chisholmensis
 Southern Cricket Frog; Acris gryllus
 Scott Bar Salamander; Plethodon asupak
 South Carolina Slimy Salamander; Plethodon variolatus
 Shenandoah Salamander; Plethodon shenandoah
 Everglades Dwarf Siren; Pseudobranchus axanthus belli
 Southern Dwarf Siren; Pseudobranchus axanthus
 Seal Salamander; Desmognathus monticola
 Seepage Salamander; Desmognathus aeneus
 Southern Gray-cheeked Salamander; Plethodon metcalfi
 San Gabriel Mountains Slender Salamander; Batrachoseps gabrieli
 Sonoran Green Toad; Anaxyrus retiformis
 Sheep Frog; Hypopachus variolosus
 Shenandoah Mountain Salamander; Plethodon virginia
 Shasta Salamander; Hydromantes shastae
 Sierran Treefrog; Pseudacris sierra
 Southern Leopard Frog; Lithobates sphenocephalus
 Southern Mountain Yellow-legged Frog; Rana muscosa
 South Mountain Gray-cheeked Salamander; Plethodon meridianus
 Small-mouthed Salamander; Ambystoma texanum
 San Marcos Salamander; Eurycea nana
 Santa Lucia Mountains Slender Salamander; Batrachoseps luciae
 Sacramento Mountains Salamander; Aneides hardii
 Shovel-nosed Salamander; Desmognathus marmoratus
 Sonoran Desert Toad; Ollotis alvaria
 Southern Appalachian Salamander; Plethodon teyahalee
 Southern Dusky Salamander; Desmognathus auriculatus
 Southern Chorus Frog; Pseudacris nigrita
 Southern Toad; Anaxyrus terrestris
 Spotted Dusky Salamander; Desmognathus conanti
 Spotted Chorus Frog; Pseudacris clarkii
 Spotted Salamander; Ambystoma maculatum
 Spring Peeper; Pseudacris crucifer
 Spring Salamander; Gyrinophilus porphyriticus
 Sequoyah Slimy Salamander; Plethodon sequoyah
 Squirrel Treefrog; Hyla squirella
 Southern Red-backed Salamander; Plethodon serratus
 Southern Ravine Salamander; Plethodon richmondi
 Sequoia Slender Salamander; Batrachoseps kawia
 Southeastern Slimy Salamander; Plethodon grobmani
 San Simeon Slender Salamander; Batrachoseps incognitus
 Savannah Slimy Salamander; Plethodon savannah
 Strecker's Chorus Frog; Pseudacris streckeri
 Southern Two-lined Salamander; Eurycea cirrigera
 Striped Newt; Notophthalmus perstriatus
 Southern Torrent Salamander; Rhyacotriton variegatus
 Streamside Salamander; Ambystoma barbouri
 Sierra Nevada Yellow-legged Frog; Rana sierrae
 Siskiyou Mountains Salamander; Plethodon stormi
 Southern Zigzag Salamander; Plethodon ventralis
 Texas Blind Salamander; Eurycea rathbuni
 Tennessee Cave Salamander; Gyrinophilus palleucus
 Tellico Salamander; Plethodon aureolus
 Texas Toad; Anaxyrus speciosus
 Three-toed Amphiuma; Amphiuma tridactylum
 Tree-hole Frog; Eleutherodactylus hedricki
 Three-lined Salamander; Eurycea guttolineata
 Tehachapi Slender Salamander; Batrachoseps stebbinsi
 Two-toed Amphiuma; Amphiuma means
 Texas Salamander; Eurycea neotenes
 Upland Chorus Frog; Pseudacris feriarum
 Van Dyke's Salamander; Plethodon vandykei
 Valdina Farms Salamander; Eurycea troglodytes
 Valley And Ridge Salamander; Plethodon hoffmani
 Warty Coqui; Eleutherodactylus locustus
 Wandering Salamander; Aneides vagrans
 Webster's Salamander; Plethodon websteri
 Western Chorus Frog; Pseudacris triseriata
 Western Spadefoot; Spea hammondii
 Whistling Frog; Eleutherodactylus cochranae
 Wehrle's Salamander; Plethodon wehrlei
 White-lipped Frog; Leptodactylus albilabris
 Weller's Salamander; Plethodon welleri
 Western Narrow-mouthed Toad; Gastrophryne olivacea
 Wood Frog; Rana sylvatica 
 Southwestern Woodhouse's Toad; Anaxyrus woodhousii australis
 Rocky Mountain Toad; Anaxyrus woodhousii woodhousii
 Woodhouse's Toad; Anaxyrus woodhousii
 Western Red-backed Salamander; Plethodon vehiculum
 Wrinkled Frog; Eleutherodactylus wightmanae
 Western Slimy Salamander; Plethodon albagula
 White-spotted Slimy Salamander; Plethodon cylindraceus
 West Virginia Spring Salamander; Gyrinophilus subterraneus
 Wyoming Toad; Anaxyrus baxteri
 Yonahlossee Salamander; Plethodon yonahlossee
 Yosemite Toad; Anaxyrus canorus
 American Black Duck; Anas rubripes
 Abert's Towhee; Pipilo aberti
 Acadian Flycatcher; Empidonax virescens
 Antillean Crested Hummingbird; Orthorhyncus cristatus
 Acorn Woodpecker; Melanerpes formicivorus
 Adelaide's Warbler; Dendroica adelaidae
 Akekee; Loxops caeruleirostris
 Akikiki; Oreomystis bairdi
 Akiapolaau; Hemignathus munroi
 Alder Flycatcher; Empidonax alnorum 
 Allen's Hummingbird; Selasphorus sasin
 Altamira Oriole; Icterus gularis
 Aleutian Tern; Sterna aleutica 
 American Avocet; Recurvirostra americana
 American Bittern; Botaurus lentiginosus 
 American Coot; Fulica americana 
 American Crow; Corvus brachyrhynchos 
 American Dipper; Cinclus mexicanus 
 American Flamingo; Phoenicopterus ruber
 American Goldfinch; Carduelis tristis
 American Golden-plover; Pluvialis dominica
 American Kestrel; Falco sparverius 
 American Oystercatcher; Haematopus palliatus
 American Pipit; Anthus rubescens 
 American Redstart; Setophaga ruticilla 
 American Robin; Turdus migratorius 
 American Wigeon; Anas americana 
 American Woodcock; Scolopax minor
 Antillean Euphonia; Euphonia musica
 Anhinga; Anhinga anhinga
 Anna's Hummingbird; Calypte anna
 Anianiau; Hemignathus parvus
 Antillean Mango; Anthracothorax dominicus
 Ancient Murrelet; Synthliboramphus antiquus 
 Antillean Nighthawk; Chordeiles gundlachii
 Apapane; Himatione sanguinea
 Aplomado Falcon; Falco femoralis
 Arctic Loon; Gavia arctica 
 Arctic Tern; Sterna paradisaea 
 Arctic Warbler; Phlloscopus borealis 
 Arizona Woodpecker; Picoides arizonae
 Ashy Storm-petrel; Oceanodroma homochroa
 Brant; Branta bernicla 
 Ash-throated Flycatcher; Myiarchus cinerascens
 Atlantic Puffin; Fratercula arctica
 American Tree Sparrow; Spizella arborea 
 American Three-toed Woodpecker; Picoides tridactylus 
 Audubon's Oriole; Icterus graduacauda
 American White Pelican; Pelecanus erythrorhynchos
 Bachman's Sparrow; Aimophila aestivalis
 Barred Owl; Strix varia
 Bald Eagle; Haliaeetus leucocephalus 
 Barrow's Goldeneye; Bucephala islandica 
 Bahama Swallow; Tachycineta cyaneoviridis
 Baird's Sparrow; Ammodramus bairdii
 Bananaquit; Coereba flaveola
 Barn Owl; Tyto alba
 Bank Swallow; Riparia riparia 
 Baltimore Oriole; Icterus galbula
 Dusty Hog-nosed Snake; Heterodon gloydi
 Barn Swallow; Hirundo rustica 
 Baird's Sandpiper; Calidris bairdii 
 Black-and-White Warbler; Mniotilta varia
 Black-billed Cuckoo; Coccyzus erythropthalmus
 Buff-bellied Hummingbird; Amazilia yucatanensis
 Buff-breasted Flycatcher; Empidonax fulvifrons
 Broad-billed Hummingbird; Cynanthus latirostris
 Black-billed Magpie; Pica hudsonia 
 Black-bellied Plover; Pluvialis squatarola 
 Buff-breasted Sandpiper; Tryngites subruficollis 
 Bay-breasted Warbler; Dendroica castanea
 Black-bellied Whistling-Duck; Dendrocygna autumnalis
 Black-backed Woodpecker; Picoides arcticus 
 Black-capped Chickadee; Poecile atricapilla 
 Brown-crested Flycatcher; Myiarchus tyrannulus
 Black-chinned Hummingbird; Archilochus alexandri
 Black-crowned Night-heron; Nycticorax nycticorax
 Buff-collared Nightjar; Caprimulgus ridgwayi
 Brown-capped Rosy-finch; Leucosticte australis
 Black-chinned Sparrow; Spizella atrogularis
 Black-crested Titmouse; Baeolophus atricristatus
 Black-capped Vireo; Vireo atricapilla
 Belted Kingfisher; Ceryle alcyon 
 Bendire's Thrasher; Toxostoma bendirei
 Bell's Vireo; Vireo bellii
 Bewick's Wren; Thryomanes bewickii
 Black-faced Grassquit; Tiaris bicolor
 Blue-gray Gnatcatcher; Polioptila caerulea
 Brown-headed Cowbird; Molothrus ater 
 Black-headed Grosbeak; Pheucticus melanocephalus
 Brown-headed Nuthatch; Sitta pusilla
 Blue-headed Vireo; Vireo solitarius
 Bicknell's Thrush; Catharus bicknelli
 Blackburnian Warbler; Dendroica fusca
 Blue Grosbeak; Passerina caerulea
 Black Guillemot; Cepphus grylle 
 Blue Jay; Cyanocitta cristata
 Black-legged Kittiwake; Rissa tridactyla 
 Black Noddy; Anous minutus
 Black Oystercatcher; Haematopus bachmani 
 Black Phoebe; Sayornis nigricans
 Blackpoll Warbler; Dendroica striata
 California Black Rail; Laterallus jamaicensis coturniculus
 Black Rail; Laterallus jamaicensis
 Black Rosy-finch; Leucosticte atrata
 Black Scoter; Melanitta nigra 
 Black Skimmer; Rynchops niger
 Black Storm-petrel; Oceanodroma melania
 Black Swift; Cypseloides niger 
 Black Tern; Chlidonias niger
 Black Turnstone; Arenaria melanocephala 
 Bluethroat; Luscinia svecica 
 Black Vulture; Coragyps atratus
 Elepaio; Chasiempis sandwichensis
 Black-necked Stilt; Himantopus mexicanus
 Bobolink; Dolichonyx oryzivorus
 Boreal Chickadee; Poecile hudsonica 
 Bonaparte's Gull; Larus philadelphia 
 Boreal Owl; Aegolius funereus 
 Botteri's Sparrow; Aimophila botterii
 Bohemian Waxwing; Bombycilla garrulus 
 Bridled Quail-Dove; Geotrygon mystacea
 Brandt's Cormorant; Phalacrocorax penicillatus
 Brambling; Fringilla montifringilla 
 Brewer's Blackbird; Euphagus cyanocephalus
 Brown Booby; Sula leucogaster
 Brown Creeper; Certhia americana 
 Brown Jay; Cyanocorax morio
 Bronze Mannikin; Lonchura cucullata
 Brown Noddy; Anous stolidus
 Bronzed Cowbird; Molothrus aeneus
 Eastern Brown Pelican; Pelecanus occidentalis carolinensis
 California Brown Pelican; Pelecanus occidentalis californicus
 Brown Pelican; Pelecanus occidentalis
 Brewer's Sparrow; Spizella breweri
 Bridled Tern; Onychoprion anaethetus
 Brown Thrasher; Toxostoma rufum
 Bridled Titmouse; Baeolophus wollweberi
 Band-rumped Storm Petrel; Oceanodroma castro
 Broad-tailed Hummingbird; Selasphorus platycercus
 Black-throated Blue Warbler; Dendroica caerulescens
 Bristle-thighed Curlew; Numenius tahitiensis 
 Black-tailed Gnatcatcher; Polioptila melanura
 Beringian Marbled Godwit; Limosa fedoa beringiae
 Bar-tailed Godwit; Limosa lapponica 
 Boat-tailed Grackle; Quiscalus major
 Blue-throated Hummingbird; Lampornis clemenciae
 Black-throated Green Warbler; Dendroica virens
 Brown-throated Parakeet; Aratinga pertinax
 Band-tailed Pigeon; Columba fasciata 
 Black-throated Sparrow; Amphispiza bilineata
 Black-throated Gray Warbler; Dendroica nigrescens
 Bufflehead; Bucephala albeola 
 Buller's Shearwater; Puffinus bulleri
 Bullock's Oriole; Icterus bullockii
 Florida Burrowing Owl; Athene cunicularia floridana
 Western Burrowing Owl; Athene cunicularia hypugaea
 Burrowing Owl; Athene cunicularia
 Bulwer's Petrel; Bulweria bulwerii
 Bushtit; Psaltriparus minimus
 Black-vented Shearwater; Puffinus opisthomelas
 Black-rumped Waxbill; Estrilda troglodytes
 Broad-winged Hawk; Buteo platypterus
 Blue-winged Teal; Anas discors 
 Black-whiskered Vireo; Vireo altiloquus
 Blue-winged Warbler; Vermivora pinus
 Cassin's Auklet; Ptychoramphus aleuticus 
 Aleutian Cackling Goose; Branta hutchinsii leucopareia
 Cackling Cackling Goose; Branta hutchinsii minima
 Taverner's Cackling Goose ; Branta hutchinsii taverneri
 Cackling Goose; Branta hutchinsii 
 Carolina Chickadee; Poecile carolinensis
 California Condor; Gymnogyps californianus
 Cactus Wren; Campylorhynchus brunneicapillus
 Cattle Egret; Bubulcus ibis
 Caribbean Elaenia; Elaenia martinica
 Cassin's Finch; Carpodacus cassinii
 California Gnatcatcher; Polioptila californica
 California Gull; Larus californicus
 Calliope Hummingbird; Stellula calliope
 Cassin's Kingbird; Tyrannus vociferans
 California Towhee; Pipilo crissalis
 Caribbean Martin; Progne dominicensis
 Vancouver Canada Goose; Branta canadensis fulva
 Dusky Canada Goose; Branta canadensis occidentalis
 Lesser Canada Goose; Branta canadensis parvipes
 Canada Goose; Branta canadensis 
 Canyon Towhee; Pipilo fuscus
 Canvasback; Aythya valisineria 
 Canyon Wren; Catherpes mexicanus
 Carolina Parakeet; Conuropsis carolinensis
 California Quail; Callipepla californica
 Caribbean Coot; Fulica caribaea
 Carolina Wren; Thryothorus ludovicianus
 Cassin's Sparrow; Aimophila cassinii
 Cave Swallow; Petrochelidon fulva
 Caspian Tern; Sterna caspia 
 California Thrasher; Toxostoma redivivum
 Cassin's Vireo; Vireo cassinii
 Canada Warbler; Wilsonia canadensis
 Chestnut-backed Chickadee; Poecile rufescens 
 Curve-billed Thrasher; Toxostoma curvirostre
 Chestnut-collared Longspur; Calcarius ornatus
 Clay-colored Sparrow; Spizella pallida
 Cedar Waxwing; Bombycilla cedrorum
 Cerulean Warbler; Dendroica cerulea
 California red-legged frog; Rana draytonii
 Chestnut Mannikin; Lonchura malacca
 Chihuahuan Raven; Corvus cryptoleucus
 Christmas Shearwater; Puffinus nativitatis
 Chipping Sparrow; Spizella passerina 
 Chimney Swift; Chaetura pelagica
 Chukar; Alectoris chukar
 Cinnamon Teal; Anas cyanoptera
 Clark's Grebe; Aechmophorus clarkii
 Clark's Nutcracker; Nucifraga columbiana
 Clapper Rail; Rallus longirostris
 Cliff Swallow; Petrochelidon pyrrhonota 
 Cape May Warbler; Dendroica tigrina
 Common Black-hawk; Buteogallus anthracinus
 Common Eider; Somateria mollissima 
 Cordilleran Flycatcher; Empidonax occidentalis
 Common Ground-dove; Columbina passerina
 Common Goldeneye; Bucephala clangula 
 Common Grackle; Quiscalus quiscula
 Cooper's Hawk; Accipiter cooperii
 Costa's Hummingbird; Calypte costae
 Couch's Kingbird; Tyrannus couchii
 Common Loon; Gavia immer 
 Colima Warbler; Vermivora crissalis
 Common Merganser; Mergus merganser 
 Common Moorhen; Gallinula chloropus
 Common Murre; Uria aalge
 Common Myna; Acridotheres tristis
 Common Nighthawk; Chordeiles minor 
 Connecticut Warbler; Oporornis agilis
 Common Pauraque; Nyctidromus albicollis
 Common Poorwill; Phalaenoptilus nuttallii
 Common Raven; Corvus corax 
 Common Redpoll; Carduelis flammea 
 Common Snipe; Gallinago gallinago 
 Common Tern; Sterna hirundo
 Common Yellowthroat; Geothlypis trichas 
 Crested Auklet; Aethia cristatella 
 Crested Caracara; Caracara cheriway
 Akohekohe; Palmeria dolei
 Craveri's Murrelet; Synthliboramphus craveri
 Crissal Thrasher; Toxostoma crissale
 Chestnut-sided Warbler; Dendroica pensylvanica
 Chuck-will's-widow; Caprimulgus carolinensis
 Double-crested Cormorant; Phalacrocorax auritus 
 Dusky-capped Flycatcher; Myiarchus tuberculifer
 Dark-eyed Junco; Junco hyemalis 
 Dickcissel; Spiza americana
 Dovekie; Alle alle 
 Downy Woodpecker; Picoides pubescens 
 Dark-rumped Petrel; Pterodroma sandwichensis
 Dusky Flycatcher; Empidonax oberholseri
 Dusky Grouse; Dendragapus obscurus
 Dunlin; Calidris alpina 
 Eastern Bluebird; Sialia sialis
 Eared Grebe; Podiceps nigricollis
 Eastern Kingbird; Tyrannus tyrannus
 Eastern Meadowlark; Sturnella magna
 Eastern Phoebe; Sayornis phoebe
 Eastern Screech-owl; Megascops asio
 Eastern Towhee; Pipilo erythrophthalmus
 Eastern Wood-pewee; Contopus virens
 Elepaio; Chasiempis sandwichensis
 Elepaio; Chasiempis sandwichensis
 Elepaio; Chasiempis sandwichensis
 Elf Owl; Micrathene whitneyi
 Elegant Tern; Thalasseus elegans
 Elegant Trogon; Trogon elegans
 Emperor Goose; Chen canagica 
 Eskimo Curlew; Numenius borealis
 Eurasian Tree Sparrow; Passer montanus
 Eurasian Collared-dove; Streptopelia decaocto
 Eurasian Dotterel; Charadrius morinellus 
 European Starling; Sturnus vulgaris
 Eurasian Wigeon; Anas penelope 
 Evening Grosbeak; Coccothraustes vespertinus
 White-crowned Sparrow; Zonotrichia leucophrys
 Elfin-woods Warbler; Dendroica angelae
 Eastern Yellow Wagtail; Motacilla tschutschensis 
 Ferruginous Hawk; Buteo regalis
 Cactus Ferruginous Pygmy-owl; Glaucidium brasilianum cactorum
 Ferruginous Pygmy-owl; Glaucidium brasilianum
 Fish Crow; Corvus ossifragus
 Field Sparrow; Spizella pusilla
 Flammulated Owl; Otus flammeolus
 Florida Scrub-jay; Aphelocoma coerulescens
 Fox Sparrow; Passerella iliaca 
 Forster's Tern; Sterna forsteri
 Franklin's Gull; Leucophaeus pipixcan
 Five-striped Sparrow; Aimophila quinquestriata
 Fork-tailed Flycatcher; Tyrannus savana
 Fork-tailed Storm-petrel; Oceanodroma furcata
 Fulvous Whistling-duck; Dendrocygna bicolor
 Gadwall; Anas strepera 
 Greater Antillean Grackle; Quiscalus niger
 Greater Antillean Oriole; Icterus portoricensis
 Gambel's Quail; Callipepla gambelii
 Groove-billed Ani; Crotophaga sulcirostris
